resultId,raceId,driverId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,position_change,is_fastest_lap,driver_experience,grid_experience_interaction,avg_position_last_5,constructorId_2,constructorId_3,constructorId_4,constructorId_5,constructorId_6,constructorId_7,constructorId_8,constructorId_9,constructorId_10,constructorId_11,constructorId_12,constructorId_15,constructorId_16,constructorId_17,constructorId_19,constructorId_23,constructorId_51,constructorId_117,constructorId_131,constructorId_164,constructorId_205,constructorId_206,constructorId_207,constructorId_208,constructorId_209,constructorId_210,constructorId_211,constructorId_213,constructorId_214,constructorId_215,statusId_11,statusId_131
138,24,3,7,5,10,10,10,0.0,70,+54.749,5838976,14,5,1:17.977,201.336,-5,0,4,20,7.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,24,18,16,20,11,11,11,0.0,70,+1:07.540,5851767,58,19,1:19.352,197.847,9,0,3,60,9.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140,24,17,10,10,12,12,12,0.0,70,+1:11.299,5855526,51,8,1:18.201,200.759,-2,0,6,60,7.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,25,13,2,2,1,1,1,10.0,70,1:31:50.245,5510245,20,2,1:16.729,206.956,1,0,6,12,2.4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150,25,8,1,1,2,2,2,8.0,70,+17.984,5528229,16,1,1:16.630,207.224,-1,1,6,6,3.4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
151,25,15,11,4,3,3,3,6.0,70,+28.250,5538495,12,7,1:17.567,204.721,1,0,6,24,6.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
152,25,5,23,10,4,4,4,5.0,70,+28.929,5539174,46,3,1:17.134,205.87,6,0,6,60,5.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,25,9,4,5,5,5,5,4.0,70,+30.512,5540757,16,4,1:17.172,205.768,0,0,7,35,3.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
154,25,17,10,6,6,6,6,3.0,70,+40.304,5550549,22,6,1:17.507,204.879,0,0,7,42,6.8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,25,12,6,9,7,7,7,2.0,70,+41.033,5551278,24,10,1:17.758,204.218,2,0,2,18,9.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,25,4,5,3,8,8,8,1.0,70,+43.372,5553617,39,8,1:17.641,204.525,-5,0,5,15,7.2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
157,25,14,9,7,9,9,9,0.0,70,+51.021,5561266,23,12,1:17.818,204.06,-2,0,4,28,7.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
158,25,1,22,13,10,10,10,0.0,70,+54.538,5564783,40,5,1:17.453,205.022,3,0,6,78,4.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
159,25,10,12,8,11,11,11,0.0,70,+57.700,5567945,45,13,1:17.836,204.013,-3,0,3,24,8.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
